Title,Authors,Year,Venue,Index
the next database revolution,jim gray,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac85
the role of cryptography in database security,ueli maurer,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac86
tree logical classes for efficient evaluation of xquery,"stelios paparizos, yuqing wu, laks v. s. lakshmanan, h. v. jagadish",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8d
adaptive stream resource management using kalman filters,"ankur jain, edward y. chang, yuan-fang wang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac88
holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korn, s. muthukrishnan, oliver spatscheck, divesh srivastava",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8a
online event-driven subsequence matching over financial data streams,"huanmei wu, betty salzberg, donghui zhang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac89
using the structure of web sites for automatic segmentation of tables,"kristina lerman, lise getoor, steven minton, craig knoblock",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac91
flexpath: flexible structure and full-text querying for xml,"sihem amer-yahia, laks v. s. lakshmanan, shashank pandit",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8e
an interactive clustering-based approach to integrating source query interfaces on the deep web,"wensheng wu, clement yu, anhai doan, weiyi meng",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8f
lazy query evaluation for active xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9a
colorful xml: one hierarchy isn't enough,"h. v. jagadish, laks v. s. lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9c
effective use of block-level sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9f
the priority r-tree: a practically efficient and worst-case optimal r-tree,"lars arge, mark de berg, herman j. haverkort, ke yi",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca4
online maintenance of very large random samples,"christopher jermaine, abhijit pol, subramanian arumugam",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca0
integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek narasayya, beverly yang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca5
graph indexing: a frequent structure-based approach,"xifeng yan, philip s. yu, jiawei han",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca3
conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca1
computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacad
transaction support for indexed summary views,"goetz graefe, michael zwilling",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca2
fast computation of database operations using graphics processors,"naga k. govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac99
approximate xml query answers,"neoklis polyzotis, minos garofalakis, yannis ioannidis",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9d
a bi-level bernoulli scheme for database sampling,"peter j. haas, christian könig",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9e
"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac92
rank-aware query optimization,"ihab f. ilyas, rahul shah, walid g. aref, jeffrey scott vitter, ahmed k. elmagarmid",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac98
data stream management for historical xml data,"sujoe bose, leonidas fegaras",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9b
compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb3
