Title,Authors,Year,Venue,Index
an initial study of overheads of eddies.,amol deshpande,2004,sigmod record,53e9a515b7602d9702e350a0
engineering federated information systems: report of efis '99 workshop.,"stefan conrad, wilhelm hasselbring, uwe hohenstein, ralf-detlef kutsche, mark roantree, gunter saake, fèlix saltor",1999,sigmod record,53e9b275b7602d9703d174f6
information finding in a digital library: the stanford perspective.,"tak w. yan, hector garcia-molina",1995,sigmod record,53e9a5beb7602d9702eea180
editor's notes.,jennifer widom,1995,sigmod record,53e99800b7602d970200b618
report on the 5th international workshop on the design and management of data warehouses (dmdw'03).,"hans-joachim lenz, panos vassiliadis, manfred a. jeusfeld, martin staudt",2003,sigmod record,53e9a718b7602d970304d814
editor's notes.,ling liu,2002,sigmod record,53e99800b7602d970200b603
report from the nsf workshop on workflow and process automation in information systems.,"amit p. sheth, dimitrios georgakopoulos, stef joosten, marek rusinkiewicz, walt scacchi, jack c. wileden, alexander l. wolf",1996,sigmod record,53e99e6ab7602d970272e079
tods perceptions and misconceptions.,richard t. snodgrass,2002,sigmod record,53e99ae6b7602d970236d5f2
sql/med - a status report.,"jim melton, jan-eike michels, vanja josifovski, krishna g. kulkarni, peter m. schwarz",2002,sigmod record,53e9b4d4b7602d9703ff2db2
2003 sigmod innovations award speech.,donald d. chamberlin,2003,sigmod record,53e9b4a5b7602d9703fb2f20
"jeffrey d. ullman speaks out on the future of higher education, startups, database theory, and more.",marianne winslett,2001,sigmod record,53e9aadfb7602d97034628ed
research issues for data communication in mobile ad-hoc network database systems.,"leslie d. fife, le gruenwald",2003,sigmod record,53e9a7b3b7602d97030eda57
chair's message.,richard t. snodgrass,1998,sigmod record,53e99809b7602d970201f8e3
an approach to confidence based page ranking for user oriented web search.,"debajyoti mukhopadhyay, debasis giri, sanasam ranbir singh",2003,sigmod record,53e9a515b7602d9702e363b7
a comparison of three user interfaces to relational microcomputer data bases.,"carl medsker, margaret christensen, il-yeol song",1995,sigmod record,53e9bd1eb7602d97049a89a1
object query standards.,andrew e. wade,1996,sigmod record,53e9983db7602d9702063cf1
constraints for semi-structured data and xml.,"peter buneman, wenfei fan, jérôme siméon, scott weinstein",2001,sigmod record,53e9b991b7602d97045848ab
database principles column - introduction.,leonid libkin,1999,sigmod record,53e99a26b7602d9702280826
report on dart '96: databases: active and real-time (concepts meet practice).,"krithi ramamritham, nandit soparkar",1997,sigmod record,53e9a743b7602d970307ad1e
a multi-agent system infrastructure for software component market-place: an ontological perspective.,"riza cenk erdur, oguz dikenelli",2002,sigmod record,53e9bd8cb7602d9704a359db
research in multi-organizational processes and semantic information brokering at the lsdis lab.,"amit p. sheth, john a. miller, krys kochut, ismailcem budak arpinar",2001,sigmod record,53e9b884b7602d97044555da
report on the second ieee metadata conference (metadata '97).,"ron musick, christopher miller 0002",1998,sigmod record,53e9b7cdb7602d970437bfc2
introducing an annotated bibliography on temporal and evolution aspects in the world wide web.,fabio grandi,2004,sigmod record,53e9aa48b7602d97033b72fe
"multiplex, fusionplex, and autoplex - three generations of information integration.","amihai motro, jacob berlin, philipp anokhin",2004,sigmod record,53e9ba85b7602d97046a99f2
"report on the first ""xquery implementation, experience, and perspectives"" workshop (xime-p).","ioana manolescu, yannis papakonstantinou",2004,sigmod record,53e9b152b7602d9703bd3739
integrating dynamically-fetched external information into a dbms for semistructured data.,"jason mchugh, jennifer widom",1997,sigmod record,53e9b414b7602d9703f0bd27
www-udk: a web-based environmental meta-information system.,"ralf kramer, ralf nikolai, arne koschel, claudia rolker, peter c. lockemann, andree keitel, rudolf legat, konrad zirm",1997,sigmod record,53e9a2ebb7602d9702bf3118
from semantic integration to semantics management: case studies and a way forward.,"arnon rosenthal, leonard j. seligman, scott renner",2004,sigmod record,53e9b98ab7602d970457d0e7
chair's message.,m. tamer özsu,2001,sigmod record,53e99809b7602d970201f952
videoanywhere: a system for searching and managing distributed video assets.,"amit p. sheth, clemens bertram, kshitij shah",1999,sigmod record,53e9b701b7602d970429aca2
quality of service in multimedia digital libraries.,"elisa bertino, ahmed k. elmagarmid, mohand-said hacid",2001,sigmod record,53e99d7ab7602d97026369c3
reminiscences an influential papers.,"kenneth a. ross, minos n. garofalakis, jeffrey f. naughton",2003,sigmod record,53e99b04b7602d97023955a6
database research at arizona state university.,"susan darling urban, suzanne w. dietrich, forouzan golshani",1996,sigmod record,53e9b938b7602d97045251fa
"sqlj part 0, now known as sql/olb (object-language bindings).","andrew eisenberg, jim melton",1998,sigmod record,53e9a1fab7602d9702afd7f8
materialized views and data warehouses.,nick roussopoulos,1998,sigmod record,53e9b017b7602d9703a7115b
algebraic change propagation for semijoin and outerjoin queries.,"timothy griffin, bharat kumar",1998,sigmod record,53e9ad42b7602d9703722d03
"report on the 3rd web dynamics workshop, at www'2004.","mark levene, alexandra poulovassilis",2004,sigmod record,53e99938b7602d9702178a2d
opportunities in information management and assurance.,xiaolei qian,1997,sigmod record,53e9b4b4b7602d9703fc8743
semantic b2b integration: issues in ontology-based applications.,"zhan cui, dean m. jones, paul o'brien",2002,sigmod record,53e99915b7602d9702153324
chair's message.,m. tamer özsu,2002,sigmod record,53e99809b7602d970201f8e7
evolution and change in data management - issues and directions.,"john f. roddick, lina al-jadir, leopoldo e. bertossi, marlon dumas, florida estrella, heidi gregersen, kathleen hornsby, jens lufter, federica mandreoli, tomi männistö, enric mayol, lex wedemeijer",2000,sigmod record,53e9a9f0b7602d9703359b92
interview: c. mohan speaks out.,"marianne winslett, c. mohan",2004,sigmod record,53e9a906b7602d970325609c
robust key establishment in sensor networks.,yongge wang,2004,sigmod record,53e9a833b7602d970317d4fd
workshop report: the first international workshop on active and real-time database systems (artdb-95).,"mikael berndtsson, jörgen hansson",1996,sigmod record,53e99eb5b7602d970277f14a
lore: a database management system for semistructured data.,"jason mchugh, serge abiteboul, roy goldman, dallan quass, jennifer widom",1997,sigmod record,53e9b57cb7602d97040be00a
on the issue of valid time(s) in temporal databases.,"stavros kokkotos, efstathios v. ioannidis, themis panayiotopoulos, constantine d. spyropoulos",1995,sigmod record,53e9afb9b7602d9703a05ea6
power efficient data gathering and aggregation in wireless sensor networks.,"hüseyin özgür tan, ibrahim korpeoglu",2003,sigmod record,53e9a6c3b7602d9702ff5623
"yahiko kambayashi (february 15, 1943 - february 6, 2004) - a tribute and personal memoirs.","yoshifumi masunaga, katsumi tanaka",2004,sigmod record,53e9a4a3b7602d9702dc6cee
"rights of tods readers, authors and reviewers.",richard t. snodgrass,2002,sigmod record,53e9b61bb7602d97041747ee
the new middleware.,rich finkelstein,1995,sigmod record,53e99853b7602d97020885ae
data management for earth system science.,"james frew, jeff dozier",1997,sigmod record,53e9b33db7602d9703e13425
the oasis multidatabase prototype.,"mark roantree, john murphy, wilhelm hasselbring",1999,sigmod record,53e99ae6b7602d970236b9ef
clustering validity checking methods: part ii.,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,sigmod record,53e99a8cb7602d97022fffcc
editor's notes.,ling liu,2004,sigmod record,53e99800b7602d970200b601
phoenix project: fault-tolerant applications.,"roger s. barga, david b. lomet",2002,sigmod record,53e9aed1b7602d97038fac02
implementing deletion in b+-trees.,jan jannink,1995,sigmod record,53e9a905b7602d9703253c45
on the academic interview circuit: an end-to-end discussion.,ugur çetintemel,2001,sigmod record,53e99a0ab7602d970225bdc5
issues in mechanical engineering design management.,"dave hislop, zoé lacroix, gerald moeller",2004,sigmod record,53e9bcd2b7602d9704956f2b
ontologies: a silver bullet for knowledge management and electronic commerce - book review.,antonio badia,2002,sigmod record,53e99c91b7602d97025452d2
mpeg-7 and multimedia database systems.,harald kosch,2002,sigmod record,53e9bb08b7602d9704743dab
what will be - book review.,paul w. p. j. grefen,2002,sigmod record,53e9b2d2b7602d9703d831da
reminiscences on influential papers.,"kenneth a. ross, johannes gehrke, jun rao",2003,sigmod record,53e99b0ab7602d970239c219
unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems.,"kenneth p. smith, leo obrst",1999,sigmod record,53e9ac38b7602d97035fd442
report on first international workshop on real-time database systems.,"azer bestavros, kwei-jay lin, sang hyuk son",1996,sigmod record,53e9ba9bb7602d97046c560f
reminiscences on influential papers.,"kenneth a. ross, flip korn, renée j. miller, kaladhar voruganti",2002,sigmod record,53e99b0ab7602d970239c211
bringing order to query optimization.,"giedrius slivinskas, christian s. jensen, richard t. snodgrass",2002,sigmod record,53e9aaa9b7602d97034211e0
metadata standards for data warehousing: open information model vs. common warehouse metamodel.,"thomas vetterli, anca vaduva, martin staudt",2000,sigmod record,53e9a4f3b7602d9702e17725
databases and transaction processing: an application-oriented approach - book review.,alfons kemper,2002,sigmod record,53e9b867b7602d97044345c3
"turmoil at nasa, and numerous funding announcements.",xiaolei qian,1995,sigmod record,53e9b6c4b7602d970424fff3
towards a richer web object model.,frank manola,1998,sigmod record,53e9afeeb7602d9703a411ba
report in isdo '00: the caise*00 workshop on infrastructures for dynamic business-to-business service outsourcinga.,"heiko ludwig, paul w. p. j. grefen",2000,sigmod record,53e9a051b7602d9702935a51
toward autonomic computing with db2 universal database.,"sam lightstone, guy m. lohman, daniel c. zilio",2002,sigmod record,53e9a25cb7602d9702b61fef
report on the 7th edbt summer school: xml and databases.,"riccardo torlone, paolo atzeni",2004,sigmod record,53e9bd98b7602d9704a459d7
the genalg project.,"joachim hammer, markus schneider 0001",2004,sigmod record,53e99854b7602d970208eaa9
mobile databases: a selection of open issues and research directions.,"guy bernard, jalel ben-othman, luc bouganim, gérôme canals, sophie chabridon, bruno defude, jean ferrié, stéphane gançarski, rachid guerraoui, pascal molli, philippe pucheral, claudia roncancio, patricia serrano-alvarado, patrick valduriez",2004,sigmod record,53e9aabdb7602d970343b0bc
simulation data as data streams.,"ghaleb abdulla, terence critchlow, william arrighi",2004,sigmod record,53e9b4efb7602d970401a8a0
in-context peer-to-peer information filtering on the web.,aris m. ouksel,2003,sigmod record,53e9b0fbb7602d9703b753f1
towards a database body of knowledge: a study from spain.,"coral calero, mario piattini, francisco ruiz",2003,sigmod record,53e9a5cdb7602d9702ef7927
report on the 9th international workshop on data base programming languages.,"georg lausen, dan suciu",2004,sigmod record,53e9a651b7602d9702f831d8
"research and practice in federated information systems, report of the efis '2000 international workshop.","wilhelm hasselbring, willem-jan van den heuvel, geert-jan houben, ralf-detlef kutsche, bodo rieger, mark roantree, kazimierz subieta",2000,sigmod record,53e99fc3b7602d970289e46b
the clio project: managing heterogeneity.,"renée j. miller, mauricio a. hernández, laura m. haas, ling-ling yan, c. t. howard ho, ronald fagin, lucian popa",2001,sigmod record,53e9b59bb7602d97040e14f1
performing jobs without decompression in a compressed database system.,"s. j. o'connell, n. winterbottom",2003,sigmod record,53e9ad76b7602d9703764548
data mining: practical machine learning tools and techniques - book review.,james geller,2002,sigmod record,53e9abc5b7602d9703578d03
infosphere project: system support for information flow applications.,"calton pu, karsten schwan, jonathan walpole",2001,sigmod record,53e9b97cb7602d970456a2b5
cost estimation of user-defined methods in object-relational database systems.,"jihad boulos, kinji ono",1999,sigmod record,53e99e05b7602d97026cb93f
multigranularity locking in multiple job classes transaction processing system.,"shan-hoi ng, sheung-lun hung",1995,sigmod record,53e99b26b7602d97023bfae5
kanata: adaptation and evolution in data sharing systems.,"periklis andritsos, ariel fuxman, anastasios kementsietsidis, renée j. miller, yannis velegrakis",2004,sigmod record,53e9be5db7602d9704b1f543
vldb workshop on technologies in e-services (tes).,"fabio casati, umeshwar dayal, ming-chien shan",2000,sigmod record,53e9ba0bb7602d970460d669
mining system audit data: opportunities and challenges.,"wenke lee, wei fan",2001,sigmod record,53e9bbcfb7602d970481e590
sql multimedia and application packages (sql/mm).,"jim melton, andrew eisenberg",2001,sigmod record,53e9bd11b7602d970499c03a
nsf workshop on industrial/academic cooperation in database systems.,"michael j. carey, leonard j. seligman",1999,sigmod record,53e99f57b7602d97028287a6
condition handling in sql persistent stored modules.,jeff richey,1995,sigmod record,53e9b4d9b7602d9703ffe516
rethinking the conference reviewing process - panel.,"michael j. franklin, jennifer widom, gerhard weikum, philip a. bernstein, alon y. halevy, david j. dewitt, anastassia ailamaki, zachary g. ives",2004,sigmod conference,53e99924b7602d970215ef60
much ado about shared-nothing.,"michael g. norman, thomas zurek, peter thanisch",1996,sigmod record,53e9af46b7602d970398679c
webdb '98: international workshop on the web and databases.,"paolo atzeni, alberto o. mendelzon",1998,sigmod record,53e9a186b7602d9702a7bb6d
"research in databases and data-intensive applications - computer science department and fzi, university of karlsruhe.","birgitta könig-ries, peter c. lockemann",1997,sigmod record,53e9a8b0b7602d97031fe877
extraction of object-oriented structures from existing relational databases.,"shekar ramanathan, julia e. hodges",1997,sigmod record,53e9b40eb7602d9703f03182
"spatial, temporal and spatio-temporal databases - hot issues and directions for phd research.","john f. roddick, max j. egenhofer, erik g. hoel, dimitris papadias, betty salzberg",2004,sigmod record,53e9bb15b7602d970475279c
cluster validity methods: part i.,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,sigmod record,53e9ac8fb7602d97036690e5
sqlj-part 1: sql routines using the java programming language.,"andrew eisenberg, jim melton",1999,sigmod record,53e9a488b7602d9702da802a
land below a dbms.,"kaladhar voruganti, jai menon, sandeep gopisetty",2004,sigmod record,53e99a8bb7602d97022fd9b9
comparative analysis of six xml schema languages.,"dongwon lee, wesley w. chu",2000,sigmod record,53e9b30ab7602d9703dce3a4
a survey of logical models for olap databases.,"panos vassiliadis, timos k. sellis",1999,sigmod record,53e99fbcb7602d9702898c46
