Title,Authors,Year,Venue,Index,isSigmod,isVLDB,Authors_new,bucket,ToKeep
graph indexing: a frequent structure-based approach,"xifeng yan, philip s. yu, jiawei han",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca3,True,False,"j han, x yan, p yu","h, j, p, x, y",True
transaction support for indexed summary views,"goetz graefe, michael zwilling",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca2,True,False,"g graefe, m zwilling","g, m, z",True
fast computation of database operations using graphics processors,"naga k. govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac99,True,False,"n govindaraju, m lin, b lloyd, d manocha, w wang","b, d, g, l, m, n, w",True
a bi-level bernoulli scheme for database sampling,"peter j. haas, christian könig",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac9e,True,False,"p haas, c könig","c, h, k, p",True
a formal analysis of information disclosure in data exchange,"gerome miklau, dan suciu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb7,True,False,"g miklau, d suciu","d, g, m, s",True
imap: discovering complex semantic matches between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon halevy, pedro domingos",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca7,True,False,"r dhamankar, a doan, p domingos, a halevy, y lee","a, d, h, l, p, r, y",True
extending query rewriting techniques for fine-grained access control,"shariq rizvi, alberto mendelzon, s. sudarshan, prasan roy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb5,True,False,"a mendelzon, s rizvi, p roy, s sudarshan","a, m, p, r, s",True
cost-based labeling of groups of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac95,True,False,"l chen, z huang, r ramakrishnan","c, h, l, r, z",True
estimating progress of execution for sql queries,"surajit chaudhuri, vivek narasayya, ravishankar ramamurthy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacca,True,False,"s chaudhuri, v narasayya, r ramamurthy","c, n, r, s, v",True
blas: an efficient xpath processing system,"yi chen, susan b. davidson, yifeng zheng",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8b,True,False,"y chen, s davidson, y zheng","c, d, s, y, z",True
efficient processing of xml twig queries with or-predicates,"haifeng jiang, hongjun lu, wei wang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8c,True,False,"h jiang, h lu, w wang","h, j, l, w",True
datamime™,"masum serazi, vasily malakhov, dongmei ren, amal perera, imad rahal, weihua wu, qiang ding, fei pan, william perrizo",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface6,True,False,"q ding, v malakhov, f pan, a perera, w perrizo, i rahal, d ren, m serazi, w wu","a, d, f, i, m, p, q, r, s, v, w",True
itqs: an integrated transport query system,"b. huang, z. huang, h. li, d. lin, h. lu, y. song",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf4,True,False,"z huang, b huang, h li, d lin, h lu, y song","b, d, h, l, s, y, z",True
efficient development of data migration transformations,"paulo carreira, helena galhardas",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface2,True,False,"p carreira, h galhardas","c, g, h, p",True
