Title_acm,Authors_acm,Year_acm,Venue_acm,Index_acm,bucket_acm,ToKeep_acm,isSigmod_acm,isVLDB_acm,Authors_new_acm,Title_dblp,Authors_dblp,Year_dblp,Venue_dblp,Index_dblp,bucket_dblp,ToKeep_dblp,isSigmod_dblp,isVLDB_dblp,Authors_new_dblp
"review of the data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by ralph kimball, margy ross. john wiley & sons, inc. 2002.",alexander a. anisimov,2003,acm sigmod record,5390958920f70186a0deec82,a,False,True,False,a anisimov,"review of the data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by ralph kimball, margy ross. john wiley & sons, inc. 2002.",alexander a. anisimov,2003,sigmod record,53e99d6bb7602d97026235a8,a,True,True,False,a anisimov
database architectures for new hardware,anastassia ailamaki,2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e401fb,a,False,False,True,a ailamaki,database architecture for new hardware.,anastassia ailamaki,2004,vldb,53e9acb5b7602d970368f878,a,True,False,True,a ailamaki
advances in real-time database systems research,azer bestavros,1996,acm sigmod record,5390881220f70186a0d7f812,"a, b",False,True,False,a bestavros,advances in real-time database systems research.,azer bestavros,1996,sigmod record,53e9a487b7602d9702da2c2d,"a, b",True,True,False,a bestavros
microsoft english query 7.5: automatic extraction of semantics from relational databases and olap cubes,adam blum,1999,vldb '99 proceedings of the 25th international conference on very large data bases,53908a7420f70186a0da45db,"a, b",False,False,True,a blum,microsoft english query 7.5: automatic extraction of semantics from relational databases and olap cubes.,adam blum,1999,vldb,53e9a1dbb7602d9702ad7a61,"a, b",True,False,True,a blum
data routing rather than databases: the meaning of the next wave of the web revolution to data management,adam bosworth,2002,vldb '02 proceedings of the 28th international conference on very large data bases,53909f6920f70186a0e3a962,"a, b",False,False,True,a bosworth,data routing rather than databases: the meaning of the next wave of the web revolution to data management.,adam bosworth,2002,vldb,53e9a848b7602d97031940b0,"a, b",True,False,True,a bosworth
entity-relationship modeling revisited,antonio badia,2004,acm sigmod record,5390962020f70186a0df3f4a,"a, b",False,True,False,a badia,entity-relationship modeling revisited.,antonio badia,2004,sigmod record,53e99a1ab7602d970226cc04,"a, b",True,True,False,a badia
oracle8i index-organized table and its application to new domains,"jagannathan srinivasan, souripriya das, chuck freiwald, eugene inseok chong, mahesh jagannath, aravind yalamanchi, ramkumar krishnan, anh-tuan tran, samuel defazio, jayanta banerjee",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da4870,"a, b, c, d, e, f, j, k, m, r, s, t, y",False,False,True,"j banerjee, e chong, s das, s defazio, c freiwald, m jagannath, r krishnan, j srinivasan, a tran, a yalamanchi",oracle8i index-organized table and its application to new domains.,"jagannathan srinivasan, souripriya das, chuck freiwald, eugene inseok chong, mahesh jagannath, aravind yalamanchi, ramkumar krishnan, anh-tuan tran, samuel defazio, jayanta banerjee",2000,vldb,53e99a2bb7602d97022870b8,"a, b, c, d, e, f, j, k, m, r, s, t, y",True,False,True,"j banerjee, e chong, s das, s defazio, c freiwald, m jagannath, r krishnan, j srinivasan, a tran, a yalamanchi"
a nanotechnology-based approach to data storage,"e. eleftheriou, p. bächtold, g. cherubini, a. dholakia, c. hagleitner, t. loeliger, a. pantazi, h. pozidis, t. r. albrecht, g. k. binnig, m. despont, u. drechsler, u. dürig, b. gotsmann, d. jubin, w. häberle, m. a. lantz, h. rothuizen, r. stutz, p. vettiger, d. wiesmann",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe22,"a, b, c, d, e, g, h, j, l, m, p, r, s, t, u, v, w",False,False,True,"t albrecht, g binnig, p bächtold, g cherubini, m despont, a dholakia, u drechsler, u dürig, e eleftheriou, b gotsmann, c hagleitner, w häberle, d jubin, m lantz, t loeliger, a pantazi, h pozidis, h rothuizen, r stutz, p vettiger, d wiesmann",a nanotechnology-based approach to data storage.,"evangelos eleftheriou, peter bächtold, giovanni cherubini, ajay dholakia, christoph hagleitner, t. loeliger, aggeliki pantazi, haralampos pozidis, t. r. albrecht, gerd karl binnig, michel despont, ute drechsler, urs dürig, bernd gotsmann, daniel jubin, walter häberle, mark a. lantz, hugo e. rothuizen, richard stutz, peter vettiger, dorothea wiesmann",2003,vldb,53e9ab32b7602d97034bc87f,"a, b, c, d, e, g, h, j, l, m, p, r, s, t, u, v, w",True,False,True,"t albrecht, g binnig, p bächtold, g cherubini, m despont, a dholakia, u drechsler, u dürig, e eleftheriou, b gotsmann, c hagleitner, w häberle, d jubin, m lantz, t loeliger, a pantazi, h pozidis, h rothuizen, r stutz, p vettiger, d wiesmann"
"social, educational, and governmental change enabled through information technology","krithi ramamritham, yeha el atfi, carlo batini, michael eitan, valerie gregg, d. b. phatak",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da4873,"a, b, c, d, e, g, k, m, p, r, v, y",False,False,True,"y atfi, c batini, m eitan, v gregg, d phatak, k ramamritham","social, educational, and governmental change enabled through information technology.","krithi ramamritham, yeha el atfi, carlo batini, michael eitan, valerie gregg, d. b. phatak",2000,vldb,53e9b54fb7602d9704085322,"a, b, c, d, e, g, k, m, p, r, v, y",True,False,True,"y atfi, c batini, m eitan, v gregg, d phatak, k ramamritham"
"powerbookmarks: a system for personalizable web information organization, sharing, and management","wen-syan li, quoc vu, edward chang, divyakant agrawal, kyoji hirata, sougata mukherjea, yi-leh wu, corey bufi, chen-chuan kevin chang, yoshinori hara, reiko ito, yutaka kimura, kezuyuki shimazu, yukiyoshi saito",1999,sigmod '99 proceedings of the 1999 acm sigmod international conference on management of data,539087f320f70186a0d6f962,"a, b, c, d, e, h, i, k, l, m, q, r, s, v, w, y",False,True,False,"d agrawal, c bufi, c chang, e chang, y hara, k hirata, r ito, y kimura, w li, s mukherjea, y saito, k shimazu, q vu, y wu","powerbookmarks: a system for personalizable web information organization, sharing, and management.","wen-syan li, quoc vu, edward y. chang, divyakant agrawal, kyoji hirata, sougata mukherjea, yi-leh wu, corey bufi, kevin chen-chuan chang, yoshinori hara, reiko ito, yutaka kimura, kazuyuki shimazu, yukiyoshi saito",1999,sigmod conference,53e9bc96b7602d97049143e6,"a, b, c, d, e, h, i, k, l, m, q, r, s, v, w, y",True,True,False,"d agrawal, c bufi, e chang, k chang, y hara, k hirata, r ito, y kimura, w li, s mukherjea, y saito, k shimazu, q vu, y wu"
camas: a citizen awareness system for crisis mitigation,"sharad mehrotra, carter butts, dmitri v. kalashnikov, nalini venkatasubramanian, kemal altintas, ram hariharan, haimin lee, yiming ma, amnon myers, jehan wickramasuriya, ron eguchi, charles huyck",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf6,"a, b, c, d, e, h, j, k, l, m, n, r, s, v, w, y",False,True,False,"k altintas, c butts, r eguchi, r hariharan, c huyck, d kalashnikov, h lee, y ma, s mehrotra, a myers, n venkatasubramanian, j wickramasuriya",camas: a citizen awareness system for crisis mitigation.,"sharad mehrotra, carter t. butts, dmitri v. kalashnikov, nalini venkatasubramanian, kemal altintas, ramaswamy hariharan, haimin lee, yiming ma, amnon meyers, jehan wickramasuriya, ron eguchi, charles huyck",2004,sigmod conference,53e9aff4b7602d9703a4b43e,"a, b, c, d, e, h, j, k, l, m, n, r, s, v, w, y",True,True,False,"k altintas, c butts, r eguchi, r hariharan, c huyck, d kalashnikov, h lee, y ma, s mehrotra, a meyers, n venkatasubramanian, j wickramasuriya"
managing distributed workspaces with active xml,"serge abiteboul, jérôme baumgarten, angela bonifati, grégory cobéna, cosmin cremarenco, florin dragan, ioana manolescu, tova milo, nicoleta preda",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe83,"a, b, c, d, f, g, i, j, m, n, p, s, t",False,False,True,"s abiteboul, j baumgarten, a bonifati, g cobéna, c cremarenco, f dragan, i manolescu, t milo, n preda",managing distributed workspaces with active xml.,"serge abiteboul, jérôme baumgarten, angela bonifati, gregory cobena, cosmin cremarenco, florin dragan, ioana manolescu, tova milo, nicoleta preda",2003,vldb,53e9a4e4b7602d9702e05704,"a, b, c, d, f, g, i, j, m, n, p, s, t",True,False,True,"s abiteboul, j baumgarten, a bonifati, g cobena, c cremarenco, f dragan, i manolescu, t milo, n preda"
a database striptease or how to manage your personal databases,"martin kersten, gerhard weikum, michael franklin, daniel keim, alex buchmann, surajit chaudhuri",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe7e,"a, b, c, d, f, g, k, m, s, w",False,False,True,"a buchmann, s chaudhuri, m franklin, d keim, m kersten, g weikum",a database striptease or how to manage your personal databases.,"martin l. kersten, gerhard weikum, michael j. franklin, daniel a. keim, alejandro p. buchmann, surajit chaudhuri",2003,vldb,53e9aa5cb7602d97033c9f05,"a, b, c, d, f, g, k, m, s, w",True,False,True,"a buchmann, s chaudhuri, m franklin, d keim, m kersten, g weikum"
privacy-enhanced data management for next-generation e-commerce,"chris clifton, irini fundulaki, richard hull, bharat kumar, daniel lieuwen, arnaud sahuguet",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe98,"a, b, c, d, f, h, i, k, l, r, s",False,False,True,"c clifton, i fundulaki, r hull, b kumar, d lieuwen, a sahuguet",privacy-enhanced data management for next-generation e-commerce.,"chris clifton, irini fundulaki, richard hull, bharat kumar, daniel f. lieuwen, arnaud sahuguet",2003,vldb,53e9b802b7602d97043b82e0,"a, b, c, d, f, h, i, k, l, r, s",True,False,True,"c clifton, i fundulaki, r hull, b kumar, d lieuwen, a sahuguet"
